Programa,Tamaño,Hilos,Promedio,DesvEst,Min,Max,CV%,Speedup,Eficiencia
mmClasicaOpenMP,400,10,"9,487","1,120","8,168","14,913",1180.3%,5.28,52.8%
mmClasicaOpenMP,400,12,"10,161","2,454","7,531","17,598",2415.6%,4.93,41.1%
mmClasicaOpenMP,600,1,"169,850","13,257","158,996","204,541",780.5%,1.00,100.0%
mmClasicaOpenMP,600,2,"113,960","11,426","93,262","134,536",1002.6%,1.49,74.5%
mmClasicaOpenMP,600,4,"66,829","5,565","56,994","76,696",832.8%,2.54,63.5%
mmClasicaOpenMP,600,6,"50,062","9,153","42,678","87,761",1828.3%,3.39,56.5%
mmClasicaOpenMP,600,8,"40,299","2,418","36,168","46,530",600.0%,4.21,52.7%
mmClasicaOpenMP,600,10,"32,334","1,848","29,506","38,759",571.6%,5.25,52.5%
mmClasicaOpenMP,600,12,"29,860","4,870","25,994","48,044",1630.9%,5.69,47.4%
mmClasicaOpenMP,800,1,"489,211","36,155","429,016","603,711",739.1%,1.00,100.0%
mmClasicaOpenMP,800,2,"411,990","174,043","199,467","670,425",4224.4%,1.19,59.4%
mmClasicaOpenMP,800,4,"135,745","28,718","104,848","224,611",2115.6%,3.60,90.1%
mmClasicaOpenMP,800,6,"100,020","11,716","81,010","125,174",1171.4%,4.89,81.5%
mmClasicaOpenMP,800,8,"100,279","12,720","79,227","133,783",1268.4%,4.88,61.0%
mmClasicaOpenMP,800,10,"98,665","7,770","85,674","116,454",787.5%,4.96,49.6%
mmClasicaOpenMP,800,12,"107,023","7,051","89,762","122,642",658.8%,4.57,38.1%
mmClasicaOpenMP,1000,1,"963,775","34,151","897,927","1,048,845",354.3%,1.00,100.0%
mmClasicaOpenMP,1000,2,"450,319","25,524","426,950","551,616",566.8%,2.14,107.0%
mmClasicaOpenMP,1000,4,"239,368","17,144","219,424","290,824",716.2%,4.03,100.7%
mmClasicaOpenMP,1000,6,"196,224","27,727","159,518","271,041",1413.0%,4.91,81.9%
mmClasicaOpenMP,1000,8,"207,456","16,352","182,959","243,116",788.2%,4.65,58.1%
mmClasicaOpenMP,1000,10,"209,805","21,919","183,011","279,366",1044.7%,4.59,45.9%
mmClasicaOpenMP,1000,12,"233,868","14,042","211,723","280,413",600.4%,4.12,34.3%
mmClasicaPosix,100,1,"3,620",331,"3,240","4,609",914.6%,1.00,100.0%
mmClasicaPosix,100,2,"2,001",157,"1,790","2,469",786.5%,1.81,90.4%
mmClasicaPosix,100,4,"1,261",162,"1,081","1,706",1281.6%,2.87,71.7%
mmClasicaPosix,100,6,"1,113",129,887,"1,416",1155.2%,3.25,54.2%
mmClasicaPosix,100,8,"1,162",204,833,"1,592",1751.0%,3.11,38.9%
mmClasicaPosix,100,10,"1,152",240,871,"2,179",2084.5%,3.14,31.4%
mmClasicaPosix,100,12,"1,293",329,"1,001","2,667",2543.6%,2.80,23.3%
mmClasicaPosix,200,1,"25,457","1,101","23,621","27,964",432.4%,1.00,100.0%
mmClasicaPosix,200,2,"12,537",695,"11,931","14,761",554.3%,2.03,101.5%
mmClasicaPosix,200,4,"7,535",518,"6,970","9,103",686.9%,3.38,84.5%
mmClasicaPosix,200,6,"5,128",382,"4,549","5,910",744.8%,4.96,82.7%
mmClasicaPosix,200,8,"4,480",564,"3,899","6,246",1258.1%,5.68,71.0%
mmClasicaPosix,200,10,"3,832",352,"3,489","5,301",919.6%,6.64,66.4%
mmClasicaPosix,200,12,"3,448",599,"2,910","6,217",1736.2%,7.38,61.5%
mmClasicaPosix,400,1,"189,354","1,692","186,663","194,105",89.3%,1.00,100.0%
mmClasicaPosix,400,2,"98,245","2,723","94,448","104,837",277.1%,1.93,96.4%
mmClasicaPosix,400,4,"51,921","1,838","49,141","55,503",353.9%,3.65,91.2%
mmClasicaPosix,400,6,"36,090","1,526","33,264","39,257",422.9%,5.25,87.4%
mmClasicaPosix,400,8,"29,440","2,228","27,017","38,839",756.7%,6.43,80.4%
mmClasicaPosix,400,10,"24,188",688,"23,040","25,800",284.5%,7.83,78.3%
mmClasicaPosix,400,12,"21,360","1,284","20,256","27,471",601.2%,8.86,73.9%
mmClasicaPosix,600,1,"671,622","27,320","641,766","736,349",406.8%,1.00,100.0%
mmClasicaPosix,600,2,"365,449","33,392","321,933","457,837",913.7%,1.84,91.9%
mmClasicaPosix,600,4,"201,186","15,758","189,624","276,752",783.3%,3.34,83.5%
mmClasicaPosix,600,6,"135,853","3,233","131,218","147,363",237.9%,4.94,82.4%
mmClasicaPosix,600,8,"107,098","5,761","100,149","130,395",538.0%,6.27,78.4%
mmClasicaPosix,600,10,"86,970","2,539","80,187","91,599",292.0%,7.72,77.2%
mmClasicaPosix,600,12,"78,193","11,647","72,227","123,485",1489.5%,8.59,71.6%
mmClasicaPosix,800,1,"1,774,457","82,000","1,620,306","1,928,849",462.1%,1.00,100.0%
mmClasicaPosix,800,2,"1,040,274","258,639","774,817","1,444,422",2486.3%,1.71,85.3%
mmClasicaPosix,800,4,"422,247","25,125","393,186","491,009",595.0%,4.20,105.1%
mmClasicaPosix,800,6,"291,412","14,585","274,067","351,544",500.5%,6.09,101.5%
mmClasicaPosix,800,8,"268,989","11,399","251,812","299,638",423.8%,6.60,82.5%
mmClasicaPosix,800,10,"272,667","18,035","242,109","331,723",661.4%,6.51,65.1%
mmClasicaPosix,800,12,"233,035","5,583","221,864","249,394",239.6%,7.61,63.5%
mmClasicaPosix,1000,1,"3,767,693","143,086","3,459,538","4,072,225",379.8%,1.00,100.0%
mmClasicaPosix,1000,2,"2,938,421","325,180","1,713,684","3,452,475",1106.6%,1.28,64.1%
mmClasicaPosix,1000,4,"1,397,505","102,756","1,199,527","1,618,146",735.3%,2.70,67.4%
mmClasicaPosix,1000,6,"628,780","81,853","563,969","1,025,234",1301.8%,5.99,99.9%
mmClasicaPosix,1000,8,"566,508","20,555","533,220","615,345",362.8%,6.65,83.1%
mmClasicaPosix,1000,10,"532,915","19,294","493,024","574,726",362.0%,7.07,70.7%
mmClasicaPosix,1000,12,"497,329","27,297","465,885","575,491",548.9%,7.58,63.1%
mmFilasOpenMP,100,1,465,40,441,617,864.4%,1.00,100.0%
mmFilasOpenMP,100,2,329,31,297,417,929.6%,1.41,70.7%
mmFilasOpenMP,100,4,298,25,241,340,837.9%,1.56,39.0%
mmFilasOpenMP,100,6,425,132,255,900,3103.3%,1.09,18.2%
mmFilasOpenMP,100,8,497,272,309,"1,413",5464.3%,0.94,11.7%
mmFilasOpenMP,100,10,744,"1,588",363,"9,141",21341.6%,0.63,6.3%
mmFilasOpenMP,100,12,"1,223","2,120",433,"8,644",17332.5%,0.38,3.2%
mmFilasOpenMP,200,1,"5,667",406,"5,124","6,860",716.8%,1.00,100.0%
mmFilasOpenMP,200,2,"3,029",209,"2,659","3,458",690.1%,1.87,93.5%
mmFilasOpenMP,200,4,"1,790",125,"1,472","2,014",698.0%,3.17,79.2%
mmFilasOpenMP,200,6,"1,342",152,"1,095","1,852",1134.4%,4.22,70.4%
mmFilasOpenMP,200,8,"1,349",713,987,"5,038",5282.8%,4.20,52.5%
mmFilasOpenMP,200,10,"1,200",523,933,"3,881",4360.3%,4.72,47.2%
mmFilasOpenMP,200,12,"1,566","1,813",851,"8,648",11575.2%,3.62,30.1%
mmFilasOpenMP,400,1,"44,271","1,350","42,576","48,485",305.0%,1.00,100.0%
mmFilasOpenMP,400,2,"22,818",690,"21,841","23,923",302.5%,1.94,97.0%
mmFilasOpenMP,400,4,"12,147",467,"11,578","13,575",384.8%,3.64,91.1%
mmFilasOpenMP,400,6,"8,588",498,"7,818","9,727",580.4%,5.16,85.9%
mmFilasOpenMP,400,8,"6,750",542,"6,239","9,297",803.3%,6.56,82.0%
mmFilasOpenMP,400,10,"5,588",339,"5,151","6,436",606.0%,7.92,79.2%
mmFilasOpenMP,400,12,"5,084",392,"4,552","6,077",770.3%,8.71,72.6%
mmFilasOpenMP,600,1,"148,805","1,047","147,336","151,784",70.3%,1.00,100.0%
mmFilasOpenMP,600,2,"77,339","2,485","74,598","83,493",321.3%,1.92,96.2%
mmFilasOpenMP,600,4,"40,162","1,121","38,081","42,351",279.2%,3.71,92.6%
mmFilasOpenMP,600,6,"27,523","1,018","26,228","29,885",369.9%,5.41,90.1%
