Programa,Tamaño,Hilos,Promedio,DesvEst,Min,Max,CV%,Speedup,Eficiencia
mmClasicaFork,100,1,"5,434","1,720","3,921","8,919",3165.2%,1.00,100.0%
mmClasicaFork,100,2,"3,146","1,274","2,110","6,632",4049.5%,1.73,86.4%
mmClasicaFork,100,4,"2,035",798,"1,386","3,997",3919.0%,2.67,66.8%
mmClasicaFork,200,1,"34,443","2,766","30,148","38,960",802.9%,1.00,100.0%
mmClasicaFork,200,2,"19,484","2,903","15,413","25,246",1489.9%,1.77,88.4%
mmClasicaFork,200,4,"10,322","2,560","8,092","16,263",2479.9%,3.34,83.4%
mmClasicaFork,400,1,"253,511","5,005","246,980","271,037",197.4%,1.00,100.0%
mmClasicaFork,400,2,"135,254","6,329","122,883","148,046",467.9%,1.87,93.7%
mmClasicaFork,400,4,"78,345","4,542","71,589","90,189",579.7%,3.24,80.9%
mmClasicaFork,600,1,"899,339","37,147","819,838","946,085",413.0%,1.00,100.0%
mmClasicaFork,600,2,"432,888","28,942","408,048","497,373",668.6%,2.08,103.9%
mmClasicaFork,600,4,"221,799","14,704","207,771","259,754",662.9%,4.05,101.4%
mmClasicaFork,800,1,"2,177,716","167,714","2,012,767","2,714,063",770.1%,1.00,100.0%
mmClasicaFork,800,2,"1,137,301","125,758","1,010,225","1,540,002",1105.8%,1.91,95.7%
mmClasicaFork,800,4,"538,940","28,772","510,676","611,118",533.9%,4.04,101.0%
mmClasicaFork,1000,1,"4,830,199","294,925","4,243,286","5,148,988",610.6%,1.00,100.0%
mmClasicaFork,1000,2,"2,322,996","133,649","2,081,039","2,530,694",575.3%,2.08,104.0%
mmClasicaFork,1000,4,"1,104,014","52,173","995,024","1,164,136",472.6%,4.38,109.4%
mmClasicaOpenMP,100,1,"1,285",523,"1,034","3,510",4074.7%,1.00,100.0%
mmClasicaOpenMP,100,2,872,387,572,"1,862",4435.8%,1.47,73.7%
mmClasicaOpenMP,100,4,855,"1,010",369,"4,752",11816.4%,1.50,37.6%
mmClasicaOpenMP,200,1,"11,298","1,055","10,586","15,538",933.9%,1.00,100.0%
mmClasicaOpenMP,200,2,"8,659","3,028","5,375","17,294",3496.3%,1.30,65.2%
mmClasicaOpenMP,200,4,"4,090","2,073","2,814","11,940",5067.2%,2.76,69.1%
mmClasicaOpenMP,400,1,"98,049","1,387","95,801","101,378",141.4%,1.00,100.0%
mmClasicaOpenMP,400,2,"53,176","3,543","47,623","60,723",666.4%,1.84,92.2%
mmClasicaOpenMP,400,4,"30,024","3,370","24,680","36,410",1122.5%,3.27,81.6%
mmClasicaOpenMP,600,1,"422,636","12,129","400,347","455,197",287.0%,1.00,100.0%
mmClasicaOpenMP,600,2,"215,754","8,220","201,618","233,455",381.0%,1.96,97.9%
mmClasicaOpenMP,600,4,"113,694","4,688","107,601","127,196",412.3%,3.72,92.9%
mmClasicaOpenMP,800,1,"1,071,659","124,375","903,184","1,215,821",1160.6%,1.00,100.0%
mmClasicaOpenMP,800,2,"449,058","40,447","419,279","536,059",900.7%,2.39,119.3%
mmClasicaOpenMP,800,4,"219,644","3,728","213,530","227,980",169.7%,4.88,122.0%
mmClasicaOpenMP,1000,1,"1,688,103","124,814","1,307,903","2,023,362",739.4%,1.00,100.0%
mmClasicaOpenMP,1000,2,"938,181","83,934","833,639","1,050,610",894.6%,1.80,90.0%
mmClasicaOpenMP,1000,4,"436,749","31,870","417,028","544,533",729.7%,3.87,96.6%
mmClasicaPosix,100,1,"5,812","1,681","3,931","9,257",2891.3%,1.00,100.0%
mmClasicaPosix,100,2,"3,110","1,379","2,045","5,937",4435.3%,1.87,93.4%
mmClasicaPosix,100,4,"1,965",795,"1,180","3,660",4046.6%,2.96,74.0%
mmClasicaPosix,200,1,"34,276","2,505","30,248","38,840",730.9%,1.00,100.0%
mmClasicaPosix,200,2,"20,873","1,669","16,280","23,121",799.7%,1.64,82.1%
mmClasicaPosix,200,4,"11,733","2,920","8,242","19,057",2488.6%,2.92,73.0%
mmClasicaPosix,400,1,"279,549","8,261","268,239","310,264",295.5%,1.00,100.0%
mmClasicaPosix,400,2,"145,760","8,117","138,085","182,762",556.9%,1.92,95.9%
mmClasicaPosix,400,4,"73,717","2,931","68,457","80,350",397.7%,3.79,94.8%
mmClasicaPosix,600,1,"864,344","43,609","811,121","935,851",504.5%,1.00,100.0%
mmClasicaPosix,600,2,"443,642","27,390","407,571","481,195",617.4%,1.95,97.4%
mmClasicaPosix,600,4,"219,409","10,788","206,771","242,848",491.7%,3.94,98.5%
mmClasicaPosix,800,1,"2,196,178","131,845","2,028,397","2,385,742",600.3%,1.00,100.0%
mmClasicaPosix,800,2,"1,068,232","58,646","1,017,292","1,204,522",549.0%,2.06,102.8%
mmClasicaPosix,800,4,"554,557","35,685","508,007","627,919",643.5%,3.96,99.0%
mmClasicaPosix,1000,1,"4,604,283","296,771","4,245,032","5,144,077",644.6%,1.00,100.0%
mmClasicaPosix,1000,2,"2,319,670","146,164","2,083,004","2,570,094",630.1%,1.98,99.2%
mmClasicaPosix,1000,4,"1,110,933","55,998","1,000,231","1,205,211",504.1%,4.14,103.6%
mmFilasOpenMP,100,1,"1,106",300,917,"1,935",2715.9%,1.00,100.0%
mmFilasOpenMP,100,2,725,308,520,"1,757",4253.8%,1.53,76.3%
mmFilasOpenMP,100,4,790,"1,126",336,"4,964",14266.2%,1.40,35.0%
mmFilasOpenMP,200,1,"10,388",629,"9,419","11,674",605.2%,1.00,100.0%
mmFilasOpenMP,200,2,"6,945","2,139","4,960","12,422",3079.4%,1.50,74.8%
mmFilasOpenMP,200,4,"3,875","1,991","2,507","11,922",5137.7%,2.68,67.0%
mmFilasOpenMP,400,1,"90,857","1,221","89,322","95,648",134.4%,1.00,100.0%
mmFilasOpenMP,400,2,"50,484","2,810","45,329","57,482",556.6%,1.80,90.0%
mmFilasOpenMP,400,4,"28,826","3,277","23,700","35,871",1136.8%,3.15,78.8%
mmFilasOpenMP,600,1,"319,778","3,220","315,344","325,908",100.7%,1.00,100.0%
mmFilasOpenMP,600,2,"166,154","3,145","160,949","174,218",189.3%,1.92,96.2%
mmFilasOpenMP,600,4,"89,914","3,192","84,910","97,388",355.0%,3.56,88.9%
mmFilasOpenMP,800,1,"775,868","7,218","760,882","791,311",93.0%,1.00,100.0%
mmFilasOpenMP,800,2,"395,185","4,499","386,404","407,147",113.8%,1.96,98.2%
mmFilasOpenMP,800,4,"201,476","3,575","196,582","207,851",177.5%,3.85,96.3%
