Programa,Tamaño,Hilos,Promedio,DesvEst,Min,Max,CV%,Speedup,Eficiencia
mmClasicaOpenMP,1000,6,"312,265","43,291","244,700","399,907",1386.4%,3.02,50.3%
mmClasicaOpenMP,1000,8,"352,343","49,159","297,969","464,479",1395.2%,2.67,33.4%
mmClasicaPosix,100,1,"5,796","3,692","2,904","18,400",6369.6%,1.00,100.0%
mmClasicaPosix,100,2,"7,906","7,023","1,838","29,843",8884.3%,0.73,36.7%
mmClasicaPosix,100,4,"8,264","6,628","2,029","28,890",8020.6%,0.70,17.5%
mmClasicaPosix,100,6,"10,615","9,526","2,609","38,275",8973.9%,0.55,9.1%
mmClasicaPosix,100,8,"11,477","9,753","3,184","36,302",8497.8%,0.51,6.3%
mmClasicaPosix,200,1,"27,705","4,575","22,117","45,142",1651.2%,1.00,100.0%
mmClasicaPosix,200,2,"34,063","30,081","12,311","131,900",8831.1%,0.81,40.7%
mmClasicaPosix,200,4,"27,552","19,136","8,434","96,250",6945.7%,1.01,25.1%
mmClasicaPosix,200,6,"27,103","16,011","8,104","71,096",5907.5%,1.02,17.0%
mmClasicaPosix,200,8,"21,757","10,234","7,247","50,870",4703.9%,1.27,15.9%
mmClasicaPosix,400,1,"184,589","33,394","144,049","272,387",1809.1%,1.00,100.0%
mmClasicaPosix,400,2,"99,333","25,407","80,059","188,556",2557.8%,1.86,92.9%
mmClasicaPosix,400,4,"92,345","36,343","47,300","252,660",3935.6%,2.00,50.0%
mmClasicaPosix,400,6,"75,852","20,647","44,095","123,082",2722.0%,2.43,40.6%
mmClasicaPosix,400,8,"95,097","42,653","43,843","218,494",4485.2%,1.94,24.3%
mmClasicaPosix,600,1,"522,157","29,917","486,145","622,761",572.9%,1.00,100.0%
mmClasicaPosix,600,2,"301,449","25,677","269,920","392,532",851.8%,1.73,86.6%
mmClasicaPosix,600,4,"180,677","23,314","152,702","261,137",1290.3%,2.89,72.2%
mmClasicaPosix,600,6,"158,848","19,654","140,922","245,351",1237.3%,3.29,54.8%
mmClasicaPosix,600,8,"161,604","27,173","123,345","209,213",1681.5%,3.23,40.4%
mmClasicaPosix,800,1,"1,535,842","222,828","1,330,793","2,231,445",1450.9%,1.00,100.0%
mmClasicaPosix,800,2,"814,059","62,813","707,574","945,630",771.6%,1.89,94.3%
mmClasicaPosix,800,4,"524,908","110,941","406,614","848,563",2113.5%,2.93,73.1%
mmClasicaPosix,800,6,"386,714","34,568","343,408","526,984",893.9%,3.97,66.2%
mmClasicaPosix,800,8,"363,960","52,192","315,412","497,140",1434.0%,4.22,52.7%
mmClasicaPosix,1000,1,"2,901,323","77,441","2,778,642","3,112,776",266.9%,1.00,100.0%
mmClasicaPosix,1000,2,"1,604,422","38,925","1,509,999","1,676,922",242.6%,1.81,90.4%
mmClasicaPosix,1000,4,"901,035","59,513","827,770","1,063,479",660.5%,3.22,80.5%
mmClasicaPosix,1000,6,"851,243","117,326","671,205","1,174,812",1378.3%,3.41,56.8%
mmClasicaPosix,1000,8,"968,918","177,681","756,476","1,264,218",1833.8%,2.99,37.4%
mmFilasOpenMP,100,1,661,495,351,"2,431",7490.7%,1.00,100.0%
mmFilasOpenMP,100,2,"1,684","1,601",366,"5,874",9509.2%,0.39,19.6%
mmFilasOpenMP,100,4,"2,356","3,237",399,"13,976",13738.7%,0.28,7.0%
